# form<TAB>count — Narkamaŭka word-form frequency, most frequent first.
# Built by scripts/build_frequency_list.py from bewiki-pages-articles.xml.bz2:
# 266050 main-namespace articles, 1321264 distinct forms over
# 44119525 tokens; top 20000 kept, covering 77.0% of tokens.
# Wikitext is stripped crudely, so the tail contains markup residue; the head,
# which is what the coverage figure and the mining rank depend on, does not.
# Text is CC BY-SA 4.0 (be.wikipedia.org).
областного	6709
поўнач	6707
развіццё	6704
двары	6702
базы	6693
прыватнасці	6688
дата	6671
афіцыйная	6650
улады	6645
газеты	6639
рух	6638
дэпутаты	6634
дзён	6633
андрэй	6629
жонка	6626
музея	6613
другога	6605
-м	6597
астравы	6580
віленскага	6570
бок	6566
рсфср	6564
камуна	6562
пісьменнікі	6557
алфавіта	6550
вкл	6539
белорусской	6539
створана	6536
ваеннай	6529
школе	6520
працавала	6514
архітэктар	6493
жыў	6493
абазначэнні	6493
палове	6481
ан	6465
ваенны	6463
мэтай	6459
адбыўся	6452
медаль	6447
саюз	6428
паўночным	6407
вялікім	6405
кніга	6403
першых	6399
армія	6392
стылі	6381
выйшаў	6378
атрымалі	6377
паколькі	6373
членам	6370
іванавіч	6368
ля	6365
новыя	6361
беларускія	6351
снежні	6351
ні	6345
межах	6342
дня	6337
момант	6334
палац	6314
беларуси	6291
адбылося	6288
маскве	6286
футболе	6283
матчы	6282
бацькі	6273
пкс	6264
старонка	6258
вакол	6253
гэтая	6252
вялікую	6252
шырыня	6247
чале	6233
гродна	6231
архітэктары	6226
усіх	6223
цк	6218
магчыма	6202
галоўнага	6197
станам	6192
школу	6183
федэрацыі	6176
народных	6175
партыя	6170
кастрычніку	6167
газета	6153
чэмпіянат	6147
вул	6143
навуковых	6136
першую	6126
навукі	6124
музеі	6124
князь	6122
службы	6118
вялікія	6110
футбаліст	6099
абраны	6093
сходу	6091
пахаваны	6085
пункта	6083
спорту	6075
могілках	6054
фон	6049
загінулі	6025
новая	6021
стагоддзе	6017
сучаснай	6014
замак	6013
выпадку	5992
гарадоў	5983
альбо	5983
англіі	5975
беларускім	5968
стане	5954
знаходзілася	5947
паўстання	5936
бібліятэка	5930
история	5930
гомель	5928
заслужаны	5927
адміністрацыйна-тэрытарыяльная	5927
моў	5925
аперацыі	5919
гульнях	5915
удзельнік	5908
прыняў	5894
президиума	5892
лютым	5888
св	5876
ваенных	5875
рэвалюцыі	5870
аховы	5868
сезоне	5866
тэорыі	5862
славутасці	5861
новых	5839
другім	5835
усяго	5831
імі	5830
былая	5827
устройства	5816
былыя	5816
намеснік	5812
паўднёвым	5806
краіне	5801
правы	5799
сваё	5798
вышэйшай	5792
административно-территориального	5786
чэмпіён	5782
каралеўства	5778
існуе	5772
раман	5771
кубка	5768
апошні	5758
чэрвені	5748
часы	5747
альбом	5745
знак	5744
масква	5737
утвораны	5736
сярэдняй	5733
мужчын	5732
комплекс	5720
часоў	5716
гродзенскага	5706
многіх	5704
стст	5689
завод	5682
сына	5672
французскі	5664
тых	5663
даследаванняў	5663
выйшла	5662
выданне	5659
латвіі	5649
перайшоў	5648
храмы	5647
адпаведнасці	5643
аддзела	5631
павел	5624
кампанія	5599
указ	5586
вершы	5583
палітыкі	5578
сядзіба	5577
чалавекі	5574
паходжання	5566
кар’ера	5566
павеце	5565
герб	5557
прамысловасці	5546
сярэдняя	5536
грамадзянскай	5516
шэрагу	5500
жанчыны	5499
савет	5497
пам	5492
лаўрэаты	5492
побач	5488
польскага	5480
сярэдзіне	5477
пачала	5467
дзяржаўная	5455
англійскай	5454
хутка	5451
працуе	5449
амерыкі	5444
лаўрэат	5432
арганізацыя	5430
рацэ	5424
народа	5413
гісторык	5407
становішча	5404
прадстаўнікі	5402
прыток	5400
стварэнне	5399
галерэя	5395
збудаванні	5395
людзі	5384
адносіны	5380
бяспекі	5358
праца	5354
мастакі	5346
серыі	5343
марыя	5342
камісіі	5342
даследаванні	5341
пражывалі	5339
района	5337
афіцыйна	5319
ўстановы	5315
былы	5314
сезона	5297
аддзялення	5294
акцёр	5292
другая	5284
перыяду	5281
выпускнікі	5251
мясцовых	5248
леніна	5241
будынкі	5226
архітэктура	5220
акруга	5218
нямецкі	5215
кіраўніцтва	5202
выкарыстанне	5199
магчымасць	5199
пётр	5196
добра	5193
дзяржаўным	5185
польскі	5184
мы	5175
трэнеры	5175
рэспубліка	5164
служыў	5154
устройство	5150
ўрада	5148
ўрад	5141
няма	5140
административно-территориальное	5136
усходзе	5133
замест	5132
тэатр	5131
індэкс	5131
наступныя	5129
бду	5103
раёнаў	5101
дні	5099
інфармацыі	5099
жывёл	5081
кіно	5080
рады	5079
міжнароднага	5079
скасаваны	5078
навуковая	5078
кантракт	5076
музыкі	5070
кожны	5055
вострава	5054
усё	5052
незалежнасці	5039
удзельнічаў	5039
адразу	5039
агульнай	5037
напісаў	5033
ўсходзе	5029
краінах	5021
цяперашні	5018
з’яўляўся	5018
імператара	4997
ўпершыню	4995
раёны	4995
змены	4994
падпарадкоўваецца	4993
кп	4991
навучання	4984
дачка	4974
вёску	4969
далей	4968
фронту	4966
прац	4961
свет	4960
павет	4955
заснавана	4954
вызваленне	4952
дома	4950
ролі	4948
універсітэт	4943
віктар	4943
адносна	4943
беларускую	4938
апошнія	4935
французскай	4933
універсітэта	4928
чыгункі	4927
правёў	4926
народная	4909
навуковыя	4907
палітычны	4906
марыі	4905
народаў	4896
дывізіі	4882
вызвалена	4880
изд	4871
лігі	4870
изменении	4865
красавіку	4864
займаў	4859
паштовы	4858
тытул	4856
кніг	4854
маі	4852
факультэта	4847
заканчэння	4842
каледж	4840
зборнік	4838
парк	4832
населенага	4828
заснаваныя	4826
вышынёй	4823
лістападзе	4823
палка	4820
закон	4816
трэнер	4814
здароўя	4812
праходзіць	4805
бс	4794
падзей	4791
перамогі	4782
васіль	4778
цэнтру	4769
актыўна	4764
вуліц	4762
ўсёй	4759
астравоў	4755
шырока	4755
корпус	4750
кн	4749
басейн	4743
казахстана	4741
праграмы	4739
самы	4739
будынка	4729
дзяржаў	4729
названы	4723
народны	4719
дынастыі	4714
при	4711
даведнік	4711
міністр	4710
двор	4710
летніх	4707
прычыны	4704
пяць	4700
др	4695
мноства	4695
артыкул	4692
шматлікія	4691
пасады	4689
дасягненні	4679
азёры	4675
паходжанне	4672
колеру	4665
значыць	4663
дзеянні	4656
эканомікі	4654
институт	4649
паўночнага	4646
ваенныя	4644
творчасці	4643
гкнп	4642
ступень	4637
нарадзілася	4637
матэрыялы	4629
акупацыяй	4629
лісце	4623
разоў	4620
займаўся	4616
аддзел	4614
чэмпіянаце	4613
сабе	4612
магілёўскага	4606
землі	4600
гісторыю	4594
уладальнік	4594
асоб	4593
носьбіты	4590
грамадства	4589
аляксей	4575
канец	4573
нан	4569
пабудавана	4569
абшчыны	4567
атрад	4564
ўстанова	4564
украіне	4563
пачынаецца	4560
беларусаў	4559
версіі	4554
дзеянняў	4548
радыё	4544
аб’ектах	4544
карта	4543
заступнікам	4543
тэлефонны	4542
фільма	4538
індэкснага	4530
працэс	4523
часткова	4523
вытворчасць	4521
чатырох	4520
павінны	4519
правераная	4519
згадваецца	4518
узнагароджаны	4511
чаргу	4506
гістарычных	4497
шляхам	4494
камітэт	4490
брат	4490
суд	4484
выбарах	4480
прызёр	4479
аддзяленне	4478
павінна	4475
работы	4474
першае	4472
моцна	4472
большая	4470
думку	4466
членаў	4465
штата	4464
шлях	4462
академии	4462
пісаў	4459
тыя	4454
стагоддзяў	4451
вышыня	4439
часцей	4436
ўплыў	4434
касцёла	4426
юрый	4425
ўсяго	4425
ўвайшла	4424
палітычных	4422
усходняй	4421
яно	4420
заявіў	4420
вучоны	4415
расійская	4413
рэжысёр	4412
карл	4410
аан	4407
скончыла	4403
адбываецца	4401
вынікі	4400
пачалася	4396
плане	4396
адміністрацыйнаму	4389
народнага	4385
сталіцы	4382
верховного	4381
рэд	4378
сонца	4378
дырэктар	4376
паступіў	4375
загадчык	4375
аўстраліі	4371
ліст	4369
службу	4369
гарадской	4366
структура	4363
адрозненне	4362
савецкіх	4358
спадчыны	4352
га	4350
зрабіў	4350
беларусы	4348
гурта	4346
помнікі	4338
звесткі	4327
востраве	4325
педагог	4325
мікалая	4325
чэмпіёны	4320
паходзіць	4316
ганна	4314
імператар	4313
вышыні	4312
трэці	4309
мікалаевіч	4301
павінен	4301
баку	4299
перададзены	4299
маглі	4298
кіраваў	4298
суда	4284
кіраўніком	4284
полк	4276
гомельскага	4274
прымаў	4268
практычна	4260
кітая	4256
дзмітрый	4248
будынку	4241
стварыў	4237
асноўнай	4233
мастакоў	4232
мінская	4230
тэрыторыю	4225
пераможца	4219
песня	4219
навуковай	4216
сёння	4216
сакратар	4202
ўсім	4202
даволі	4198
вялікіх	4196
часопіса	4189
паэты	4188
імперыя	4181
вялікае	4181
праблемы	4181
індыі	4180
праекта	4177
з’явілася	4172
рамках	4172
брэсцкага	4171
мог	4168
генерал	4161
трэцяй	4161
далучана	4160
маёнтак	4159
палітык	4155
палаты	4153
іншага	4151
падпісаў	4151
наш	4147
выбары	4143
кошт	4138
вышэйшая	4136
карла	4131
існавала	4124
пазіцыі	4124
міжнародных	4122
пакуль	4121
складу	4121
штат	4119
чырвонага	4114
флора	4109
германія	4107
намеснікам	4101
знаходзіліся	4099
мастака	4098
маскоўскага	4097
жыве	4097
уладзіміра	4095
пісьменнікаў	4095
дзяржава	4086
храма	4082
фізікі	4080
уключаючы	4072
фактычна	4072
залаты	4071
кандыдат	4070
значэння	4069
матэрыялаў	4064
кпсс	4054
партрэт	4054
працаваць	4051
под	4046
грамадскі	4040
сабор	4037
экз	4032
напрамку	4030
міністра	4027
асноўных	4019
турніру	4013
жыцці	4009
памяці	4008
фінляндыі	4005
літоўскай	4001
парадку	4000
грэцыі	3997
мост	3996
истории	3994
найбольшая	3991
віцебск	3990
сярэдзіны	3990
адміністрацыі	3986
галоўнай	3980
утвораныя	3980
міжнароднай	3978
рымскай	3970
шматлікіх	3970
чыгуначнай	3959
праваслаўнай	3956
доме	3955
стан	3954
меры	3954
парыжы	3946
абвясціў	3945
сучаснага	3944
украіна	3943
заняў	3943
спіральная	3941
большасці	3939
дынама	3939
аб’яднання	3938
жывёлы	3938
рэспубліцы	3937
тэатры	3936
гурт	3934
футбалісты	3932
артыкулы	3931
савецкая	3930
францыя	3927
прадпрыемства	3924
рускі	3922
трэба	3918
раёнах	3918
пятра	3916
з’езда	3914
нацыянальным	3913
купалы	3912
належыць	3910
адзіны	3909
выкарыстоўваюцца	3905
россии	3903
форме	3899
адкрыта	3897
нацыянальная	3891
пастановай	3891
аляксандравіч	3889
из	3888
сучасных	3885
дзеці	3884
правіла	3884
барацьбы	3877
войны	3872
карціны	3871
наступным	3869
верагодна	3867
кіраванне	3859
становіцца	3859
характар	3857
справы	3853
постаці	3851
беларускае	3850
арганізацый	3847
студэнтаў	3847
эканоміка	3845
мястэчка	3842
сцяга	3841
брыгады	3840
мясцовага	3835
традыцыі	3834
называюць	3834
класа	3833
ордэнам	3829
імем	3828
мовах	3827
падзелу	3826
прадстаўлены	3824
дзяржаўных	3823
пачалося	3822
часопіс	3821
даўжынёй	3820
адпаведна	3818
аграгарадок	3818
каманда	3813
зоркі	3812
ходзе	3810
сацыялістычнай	3806
магілёў	3805
белэн	3805
старшынёй	3800
месцаў	3800
бітве	3797
баявых	3796
жонкі	3795
мовай	3794
расліна	3785
бібліяграфія	3784
звязана	3781
лізе	3780
граматай	3774
адукацыю	3771
яўрэяў	3769
эпохі	3768
навука	3766
польшча	3765
пераклад	3763
героя	3759
начальнік	3756
вядомая	3755
джон	3751
мінскі	3748
незалежнасць	3747
узброеных	3746
прынята	3742
пасёлка	3737
выканаўчага	3731
гары	3722
станіслаў	3721
сістэм	3721
функцыі	3716
віленскай	3713
министров	3706
варшаве	3703
арыштаваны	3702
ніжэй	3701
гэтую	3700
замка	3698
пытанні	3698
міжнародны	3694
